매장명,주소,위도,경도
순천조례점,전라남도 순천시 충효로 109 (디지털프라자전자랜드) /조례동 1264,34.9486194865333,127.514901958935
논산내동점,"충청남도 논산시 대학로65번길 6-5 101,102,201호 /내동 1189",36.1792968872082,127.10589960255
오류동점,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차) .",37.4964851629173,126.845741839583
부천역점,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 110호, 204호",37.4859409850642,126.780194443089
화성병점점,경기도 화성시 병점동로 105,37.2131743481979,127.039518573996
군산은파유원지DI점,전라북도 군산시 백토로 284-35 나운동 191-70,35.9533809572074,126.702391964669
잠실학원사거리점,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",37.5071964496082,127.091386305975
구미시청점,경상북도 구미시 송정대로 54 (송정동) .,36.1175816626047,128.344672814111
화성향남DT점,"경기도 화성시 향남읍 향남로 306 방축리294,295-2번지",37.1192538139098,126.918302152429
발산역점,서울특별시 강서구 강서로 357 (내발산동) .,37.5576668863222,126.837387751506
목동파리공원점,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙) .",37.5366321308561,126.879863427781
인천한길안과병원점,"인천광역시 부평구 부평대로 37 (부평동 543-35, 정명빌딩한길안과병원) .",37.494804278108,126.722225845073
북한산DI점,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈) .",37.6518581234721,126.938554425363
울산성남점,"울산광역시 중구 만남의거리 33, 1F 성남동 256-16",35.5533806194558,129.32086191456
구미상모사곡점,경상북도 구미시 박정희로 259 (사곡동) .,36.1017616690999,128.354959640208
신도림테크노마트점,서울특별시 구로구 새말로 97 (신도림테크노마트) 104~106호,37.5070438414784,126.890227293528
제주황사평DT점,제주특별자치도 제주시 연북로 756 1~2층,33.4971387953246,126.556039594772
KG타워점,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 1층",37.5635955637684,126.969222436022
올림픽공원역점,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원) (A-3동 C구역 )",37.5203396980951,127.115517876627
울산매곡점,울산광역시 북구 신기17길 3 (매곡동) 1-2층,35.6469887465374,129.354574606258
신촌역점,"서울특별시 마포구 신촌로 88 (노고산동, 태영빌딩) 2층",37.5553097221974,126.935331733458
울산국가정원점,울산광역시 중구 태화강국가정원길 201 (태화동) .,35.5499327050248,129.296700353777
노원역점,"서울특별시 노원구 노해로 488 (상계동, 근호빌딩) 1층",37.6543222923845,127.062168567542
