매장명,주소,구,위도,경도
장안중앙점,서울특별시 동대문구 사가정로25길 42 (장안동 영림빌딩) 1층,동대문구,37.5806820979802,127.070975935766
촬영소사거리점,서울특별시 동대문구 답십리로 264,동대문구,37.5722815601428,127.069508490646
배봉초교사거리점,서울특별시 동대문구 답십리로63길 131,동대문구,37.5785099656673,127.069336090359
용두동점,서울 동대문구 용두동  40-1,동대문구,37.5766581827184,127.037938429492
장안동사거리점,서울 동대문구 장안동  331-4,동대문구,37.5723883024067,127.074855316619
전농사거리점,서울 동대문구 전농동  39-9 1층 (사가정로 132),동대문구,37.577535647958,127.05956816025
회기역중앙점,서울 동대문구 회기로 193 1층,동대문구,37.5901851144732,127.057441553909
경희대점,서울 동대문구 회기동  16-55 2층,동대문구,37.5918949642804,127.052526485934
남성역점,서울특별시 동작구 사당로17가길 13,동작구,37.4838120946482,126.973425490717
노량진한성빌딩점,서울 동작구 만양로 105 한성빌딩 1층 110호,동작구,37.5128549427149,126.944007081257
상도파크엘점,"서울 동작구 양녕로 220 (상도동, 상도역 롯데캐슬 파크엘) 1층",동작구,37.5006923608129,126.945536442321
흑석역점,서울 동작구 현충로 100-1 (흑석동),동작구,37.5076446931125,126.964738341052
노량진드림스퀘어점,"서울 동작구 노들로2길 7 (노량진동, 노량진 드림스퀘어 복합빌딩) 1층 씨113호",동작구,37.5141942939247,126.938586139882
상도중앙점,"서울 동작구 만양로 17 (상도동) 1층 101,102호",동작구,37.5062920350335,126.947156929982
노량진역사점,"서울 동작구 노량진로 지하 130 (노량진동, 9호선 노량진역) 이디야커피",동작구,37.5135735646312,126.940826454376
총신대점,"서울 동작구 사당로16가길 96 1,2층",동작구,37.485107611205,126.968823424325
사당역점,서울 동작구 동작대로7길 100 1층(사당동),동작구,37.4771585444473,126.977532880864
