지점명,주소,위도,경도
시흥 배곧점,"경기 시흥시 서울대학로278번길 61  (배곧동, 서영베니스스퀘어) (정왕동, 서영베니스스퀘어) 1층",37.3681855990292,126.73067100839
평택소사벌점,"경기 평택시 비전5로 16  (비전동, 프라우빌딩) 프라우빌딩 111호",36.9998557100909,127.113265585575
동탄 2시범단지점,경기 화성시 동탄순환대로 617  (청계동)  범환상가 104호,37.2007369189066,127.114737861227
인천 청라점,인천 서구 연희동 797-1  린스트라우스 B동 115호,37.5486391,126.6826642
경북 도청점,경북 예천군 호명면 산합리 1408  신성프라자 101호,36.576261616315,128.489086782816
강릉 유천점,강원 강릉시 선수촌로 67  (홍제동) 108호,37.7568451314152,128.870043964598
부산 사직점,부산 동래구 아시아드대로146번길 10  (사직동),35.1973849779054,129.066128389207
인천 연수점,"인천 연수구 벚꽃로 106  (청학동, 연수광장프라자) 101호(광장프라자)",37.417680131691,126.677232072323
충북증평점,"충북 증평군 증평읍 광장로 106  (중동리, 제일가정의학과)",36.7844492856201,127.583506054941
익산 원광대점,전북 익산시 무왕로 884  (신동) 1층,35.9639677794551,126.956721318212
부산 남천점,"부산 수영구 황령대로473번길 15  (남천동, 남천 엑슬루타워) 103, 104호",35.1399316610651,129.106487767528
용인 김량장점,경기 용인시 처인구 금령로 94  (김량장동),37.2353366732479,127.206629287399
파주 동패점,경기 파주시 동패동 1758-1  삼융프라자 106,37.7117518784836,126.744440642883
충북오송점,충북 청주시 흥덕구 오송읍 연제리 712,36.6313324390288,127.327628755062
서산 호수공원점,"충남 서산시 호수공원3로 26  (읍내동, 하진하우스)",36.7745102365983,126.447953628988
제주 노형점,제주특별자치도 제주시 노형동 3794-5,33.4827109744154,126.475942201235
안양 동편마을점,"경기 안양시 동안구 동편로 16  (관양동) (광양동, 동편상가)",37.4060321099011,126.971506210451
울진 군청점,"경북 울진군 울진읍 울진중앙로 123-2  (읍내리, 클래식)",36.9925877167161,129.401028344796
분당 서현점,"경기 성남시 분당구 서현로180번길 19  (서현동, 비전월드)  101-25호",37.3879746443467,127.12248993928
김해율하점,경남 김해시 관동동 1094-1,35.1764391626549,128.812301064315
인천 검단사거리역점,인천 서구 검단로 469  (왕길동) 104-105호(왕길동),37.6019289434556,126.656572826949
구미 형곡송정점,경북 구미시 송정대로 11  (송정동),36.1171007259498,128.340097420436
원주 무실점,강원 원주시 시청로 100  (무실동),37.3358072423623,127.928977371486
안성석정점,경기 안성시 석정동 255-9,37.0095259348693,127.261408084242
안동 옥동점,경북 안동시 옥동 616-1,36.5640846989571,128.703967218639
천안 두정점,"충남 천안시 서북구 두정중9길 11-1  (두정동, 한일상사)  1층",36.8370355260344,127.139550435202
대구 테크노폴리스점,대구 달성군 유가읍 테크노상업로 96  (봉리),35.6932468009295,128.45969336373
동여의도점,"서울 영등포구 의사당대로1길 25  (여의도동, 하남빌딩)  115호",37.5200631564146,126.929844969015
광양 중마점,전남 광양시 공영로 102  (중동),34.9356536895306,127.700304339606
울산 성남점,울산 중구 젊음의거리 29-6  (성남동),35.5539244957303,129.318395047048
포항 양덕점,경북 포항시 북구 양덕동 1396,36.0819935001075,129.397223344302
충주연수점,충북 충주시 갱고개로 176  (연수동),36.9866502752864,127.939559325452
대구 침산점,"대구 북구 침산로 153  (침산동, 명성푸르지오) 105동 1층 C15호",35.8890265531963,128.589744306502
충주성서점,충북 충주시 성서8길 19  (성서동),36.9711158295368,127.932398549974
송탄출장소점,경기 평택시 관광특구로 19  (서정동)  101-1호(서정동),37.0672512623234,127.060907834839
영주 가흥점,경북 영주시 대동로13번길 2-21  (가흥동),36.8171121747959,128.604086727492
송도 캠퍼스타운점,"인천 연수구 송도과학로27번길 55  (송도동, 롯데캐슬 캠퍼스타운) (송도동, 갬퍼스타운 애비뉴)",37.3892363233087,126.665127593356
시흥대야점,"경기 시흥시 비둘기공원7길 39  (대야동, 트윈프라자) 1층 101호(대야동, 트윈프라자)",37.4424759071005,126.79240255182
남앙주 진접점,경기 남양주시 진접읍 금곡리 974-1  103호,37.7200358706515,127.197016032466
판교 알파돔점,"경기 성남시 분당구 대왕판교로606번길 10  (백현동, 알파리움1단지) 타워 1동 2층 328호(백현동, 알파리움)",37.395800819414,127.107592379777
전주아중점,전북 전주시 덕진구 건산로 261  (우아동2가) 1동 1호(우아동 2가),35.8354910603427,127.165774408752
파주 금촌점,경기 파주시 중앙로 323  (금촌동) 1층,37.7644264702007,126.774163985202
금정역점,경기 군포시 산본천로226번길 4  (산본동) 101호(산본동),37.3716969846865,126.942281997709
