매장코드,매장명,주소,오픈날짜,위도,경도
2384,갤러리아타임월드,"대전광역시 서구 둔산동 1036 갤러리아타임월드백화점, 11층",2025-02-28,36.3523435868472,127.378544926374
2268,도안레이크타워,대전광역시 서구 도안동 2330 대전도안레이크타워 105~109호,2024-06-05,36.3260207093278,127.348638411367
2359,둔산이랜드피어,"대전광역시 서구 둔산동 928 이랜드 PEER 둔산 110호, 111호, 112호, 113호",2024-12-18,36.3583021476738,127.389675150653
2269,대전관저네거리,"대전광역시 서구 관저동 1733 대전 관저 클리닉 센터, 102-1호",2024-06-20,36.3019548821925,127.334395206408
1606,대전반석역,대전광역시 유성구 반석동 640-3 뉴타운프라자,2020-01-21,36.3916429097209,127.314240714046
1198,대전도안DT,대전광역시 유성구 봉명동 555-3,2017-04-18,36.3514612681442,127.340086490432
1175,대전유성구청,대전광역시 유성구 어은동 115-3,2017-02-23,36.3622348452104,127.357668839392
1009,대전지족,대전광역시 유성구 지족동 984-5,2015-11-27,36.3873915641854,127.317505220285
930,대전유성,"대전광역시 유성구 봉명동 446-8, 446-9",2015-05-26,36.3545367748243,127.339683753172
981,대전전민,대전광역시 유성구 전민동 303-1 (1층),2015-09-23,36.3994723267032,127.400508249262
887,대전관평동,대전광역시 유성구 관평동 958 1~3층,2015-01-22,36.4255148546176,127.392630253579
886,대전조이마루,대전광역시 유성구 도룡동 4-20,2015-01-20,36.3766170224643,127.391028446066
693,대전노은,대전광역시 유성구 지족동 907-3 1~2층,2013-11-21,36.3734765215971,127.319515255128
774,충남대정문,대전광역시 유성구 궁동 482-7,2014-05-15,36.3606796679377,127.344644274268
536,대전테크노밸리,"대전광역시 유성구 관평동 937,938번지",2012-07-31,36.4226991,127.3983671
2504,대전용산,대전광역시 유성구 용산동 734 10호~104호,2025-12-23,36.4168446037245,127.392813729819
2098,대전문지,대전광역시 유성구 문지동 655-8,2023-02-24,36.3924494586684,127.405523409052
2438,대전LG에너지솔루션,대전광역시 유성구 문지동 104-1 LG화학기술연구원,2025-07-31,36.3884059427356,127.397526942603
1855,신세계대전R,"대전광역시 유성구 도룡동 3-1, 대전신세계 백화점 5F",2021-08-25,36.3820913,127.3842125
